国家代码,国家中文名,国家英文名,R9调查开始,R9调查结束,R10调查开始,R10调查结束,疫情官方发生时点(首例确诊),发生时点置信度,疫情官方结束时点(全国性主要限制解除/终止),结束时点定义说明,结束时点置信度,R9相对疫情发生时点,R10相对疫情结束时点,备注
IE,爱尔兰,Ireland,2018/11/5,2019/10/15,2021/11/23,2022/12/16,2020/2/29,高,2022/2/28,爱尔兰取消绝大多数法定防疫限制(含多数场所口罩令)的日期,中,前,中(跨越),部分场所(医疗/药房等)口罩令解除时间略晚于该日期
IS,冰岛,Iceland,2019/10/5,2020/10/13,2021/7/28,2022/2/11,2020/2/28,高,2022/2/25,冰岛成为欧洲首批解除全部国内及边境防疫限制的国家之一，正式生效日期,高,中(跨越),前(临界),R9调查窗口跨越首例确诊日期；R10结束(2022-02-11)与该国限制解除(2022-02-25)仅相差约2周，属临界情形
IT,意大利,Italy,2018/12/17,2019/6/26,2021/10/25,2022/4/26,2020/1/31,高,2022/3/31,"意大利政府正式终止""国家紧急状态(stato di emergenza)""的日期",高,前,中(跨越),意大利首例为罗马两名中国游客(2020-01-31)；伦巴第大区社区传播于2020-02-21确认
LT,立陶宛,Lithuania,2019/9/21,2020/5/28,2021/7/1,2021/12/15,2020/2/28,高,2022/5/1,"立陶宛正式撤销全国性""紧急状况(ekstremalioji situacija)""的日期",高,中(跨越),前,R9调查窗口跨越首例确诊日期；立陶宛的隔离检疫(karantinas)与紧急状况(ekstremalioji situacija)为两套不同法律状态，此处取后者(更高层级)终止日期
ME,黑山,Montenegro,2019/5/22,2020/5/29,2021/11/3,2022/3/30,2020/3/17,高,2022/3/10,黑山取消入境/场所COVID证明及主要限制的日期(口罩令等个别措施解除时间略晚),中,中(跨越),中(跨越),黑山为欧洲最后一个报告首例确诊的国家(2020-03-17)；R9与R10调查窗口均跨越各自对应的疫情时点
NL,荷兰,Netherlands,2018/8/28,2019/6/3,2021/10/1,2022/4/3,2020/2/27,高,2022/3/23,"荷兰政府""2022年3月最后一批防疫措施失效""时间线中标注的最后阶段解除日期(过程延续至3月下旬，无单一法令生效日)",中,前,中(跨越),荷兰措施于2022年3月分批(3/4至3/25)逐步取消，此处取该月下旬近似日期
NO,挪威,Norway,2018/10/9,2019/10/9,2021/6/10,2022/5/4,2020/2/26,高,2022/2/12,挪威政府正式解除几乎全部感染防控措施的日期,高,前,中(跨越),—
PT,葡萄牙,Portugal,2019/4/26,2020/4/26,2021/8/23,2022/3/9,2020/3/2,高,2022年(具体日期未见权威单一文告，约在2022年4月前后),"葡萄牙经历""紧急状态→灾难状态(calamidade)→应急/警戒状态(alerta)""多级退坡，缺少可查的单一""正式结束""公告",低,中(跨越),前(临界，估计),R9调查窗口(2019-04-26至2020-04-26)与该国首例确诊日期(2020-03-02)重合，属于跨越情形；R10结束时点相对该国限制解除是否已完成为临界估计，建议进一步查证葡萄牙官方公报确认最终日期
SI,斯洛文尼亚,Slovenia,2018/9/18,2019/9/18,2020/9/18,2021/8/26,2020/3/4,高,2021/6/16,"斯洛文尼亚第二次(也是官方记录中最后一次)宣布的COVID-19""疫情(epidemija)""状态到期/解除日期",中,前,中(跨越，且大部分调查发生于结束之后),"SI是R10中最早开始调查的国家(2020-09-18)，因COVID封锁曾于2020年11月至2021年6月暂停调查，之后于2021年6月恢复并于8月完成；调查恢复及后续阶段主要发生在本国官方""疫情""状态于2021-06-16结束之后"
SK,斯洛伐克,Slovakia,2019/4/20,2020/4/20,2021/5/25,2021/10/31,2020/3/6,高,2023/9/15,"斯洛伐克正式取消""非常状态(mimoriadna situácia)""法律地位的日期(该法律状态自2020-03-12持续生效)",高,中(跨越),前,"R9调查窗口跨越首例确诊日期；官方法律意义上的""非常状态""迟至2023年9月才解除，明显晚于该国实际防疫限制基本解除的时间(约2022年)，需注意法律口径与实际社会状态的落差"
